,r2_smiles,r2_mol,r2_Sp2-sp2_Suzuki_coupling,r1_Sp2-sp2_Suzuki_coupling
0,Cn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x177e874a0>,True,False
1,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,True,False
2,Cc1ccc(B(O)O)c2[nH]ccc12,<rdkit.Chem.rdchem.Mol object at 0x177e85c80>,True,False
3,OB(O)c1cc(F)cc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e840b0>,True,True
4,Cc1ccc2cc[nH]c2c1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x177e84a50>,True,False
5,OB(O)c1c(F)ccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e82190>,True,True
6,Nc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x177e82270>,True,False
7,Cn1ccc2ccc(F)c(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x177e82580>,True,True
8,CCn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x177e810b0>,True,False
9,OB(O)c1ccc(F)c2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e81350>,True,True
10,OB(O)c1cccc2cc(O)[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e81580>,True,False
11,Cc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x177e81cf0>,True,False
12,Cc1ccc2ccn(C)c2c1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x177e81eb0>,True,False
13,Cc1cc2cccc(B(O)O)c2n1C,<rdkit.Chem.rdchem.Mol object at 0x2941744a0>,True,False
14,Cc1c[nH]c2c(B(O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x294174510>,True,False
15,Cc1cc2cc(F)cc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x294174c10>,True,True
16,CCCn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x294173270>,True,False
